Molecule ChEMBL ID;Smiles;IC50_nM;Activity_status
CHEMBL1683125;CN(Cc1ccc(C#N)cc1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;10000;Inactive
CHEMBL1288231;Cl.Cn1c(=O)[nH]c2cc(N3CCC[C@@](C)(N)C3)n(Cc3ccccc3)c2c1=O;10000;Inactive
CHEMBL1288232;Cl.Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2ccccc2C#N)n(C)c1=O;10000;Inactive
CHEMBL1287845;CCOCCCn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1Cl.Cl;10000;Inactive
CHEMBL3580775;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)[C@H]1CCc2cc(F)c(F)cc21;10000;Inactive
CHEMBL5396828;CC(C)[C@H](NC12CC3CC(CC(N)(C3)C1)C2)C(=O)N1Cc2ccccc2C1;10000;Inactive
CHEMBL3580776;N[C@@H](CC(=O)N1CC(=O)Nc2ccccc2C1)[C@H]1CCc2cc(F)c(F)cc21;10000;Inactive
CHEMBL1287844;Cl.Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2Cl)n(CCCO)c1=O;10000;Inactive
CHEMBL3580784;N[C@@H](CC(=O)N1CC(=O)Nc2cc(F)c(F)cc2C1)[C@H]1CCc2cc(F)c(F)cc21;10000;Inactive
CHEMBL1287874;Cl.Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3cc(F)ccc3Cl)c2c1=O;10000;Inactive
CHEMBL1287901;Cc1ccc(F)cc1Cn1c(N2CCC[C@@](C)(N)C2)cc2ncn(C)c(=O)c21.Cl;10000;Inactive
CHEMBL2023066;N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(-c3cccnc3)cc2c1=O;10000;Inactive
CHEMBL3580788;CN1C(=O)CN(C(=O)C[C@H](N)[C@H]2CCc3cc(F)c(F)cc32)Cc2ccccc21;10000;Inactive
CHEMBL1288289;CN(C)C(=O)Cn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1Cl.Cl;10000;Inactive
CHEMBL1288288;CCn1c(=O)n(C)c(=O)c2c1cc(N1CCC[C@@](C)(N)C1)n2Cc1cc(F)ccc1C#N.Cl;10000;Inactive
CHEMBL2023067;N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Br)c[nH]c2c1=O;10000;Inactive
CHEMBL1288261;Cc1ccc(F)cc1Cn1c(N2CCC[C@@](C)(N)C2)cc2c1c(=O)n(C)c(=O)n2C.Cl;10000;Inactive
CHEMBL1287875;Cl.Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3cc(F)ccc3C#N)c2c1=O;10000;Inactive
CHEMBL1287902;Cl.Cn1cnc2cc(N3CCC[C@@](C)(N)C3)n(Cc3ccccc3C#N)c2c1=O;10000;Inactive
CHEMBL1422;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F;10000;Inactive
CHEMBL1288260;Cl.Cn1c(=O)c2c(cc(N3CCC[C@@](C)(N)C3)n2Cc2cc(F)ccc2Cl)n(C)c1=O;10000;Inactive
CHEMBL3580789;CN1C(=O)CN(C(=O)C[C@H](N)[C@H]2CCc3cc(F)c(F)cc32)Cc2ccc(F)cc21;10000;Inactive
CHEMBL5402264;CC(C)[C@H](NC12CC3CC(CC(NC(=O)OC(C)(C)C)(C3)C1)C2)C(=O)N1Cc2ccccc2C1;10000;Inactive
CHEMBL237500;CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C;10000;Inactive
CHEMBL3127981;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1csc2ccccc12;10600;Inactive
CHEMBL461289;N=C(N)NCCC[C@H](N)C(=O)N1CCCC1;10900;Inactive
CHEMBL3215608;Cc1ccc(-c2c(CN)c(CC(C)(C)C)nc(C(C)C)c2C(=O)O)cc1.Cl.Cl;11000;Inactive
CHEMBL237151;C[C@@H](C1CCC(c2cccnc2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1;11000;Inactive
CHEMBL566672;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(CC2CC2)no1)Cc1cc(F)c(F)cc1F;11000;Inactive
CHEMBL3093924;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(C(F)(F)F)cc1;11140;Inactive
CHEMBL460886;CC[C@H](C)[C@H](N)C(=O)N1CCC(F)C1;11200;Inactive
CHEMBL2206471;Cn1cncc1-c1cccc(C2(NC(=O)C[C@H](N)Cc3ccccc3F)CCS(=O)(=O)CC2)c1;11200;Inactive
CHEMBL383705;CC(C)[C@H](N)C(=O)N1CCCC1;11300;Inactive
CHEMBL1683142;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cnc(O)nc2)CC1;12000;Inactive
CHEMBL566419;N[C@@H](CC(=O)N1CCC[C@H]1c1noc(C2CC2)n1)Cc1cc(F)c(F)cc1F;12000;Inactive
CHEMBL1683099;CC(=O)N(C)[C@H]1CC[C@@H]([C@H](N)Cc2cc(F)ccc2F)CC1;12000;Inactive
CHEMBL1683116;N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCCCC2)CC1;12000;Inactive
CHEMBL1683105;CN(C(=O)c1csnn1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;12000;Inactive
CHEMBL3216938;Cc1ccc(-c2c(CN)c(CC(C)(C)C)nc(C)c2C(=O)O)cc1.Cl.Cl;12000;Inactive
CHEMBL3233842;N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccccc12;12500;Inactive
CHEMBL3233842;N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccccc12;12500;Inactive
CHEMBL389537;N[C@H]1CN(c2ccc3ccccc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F;13000;Inactive
CHEMBL1683506;CC(C)[C@@H](Nc1ccc(CNC(=O)[C@@H]2SCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(=O)O.Cl;13000;Inactive
CHEMBL197300;N[C@@H](CC(=O)N1CCc2c(n[nH]c2C(F)(F)F)C1)Cc1cc(F)ccc1F;13000;Inactive
CHEMBL3112967;NC[C@]1(c2cccc(Cl)c2)CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2=O)CC1;13000;Inactive
CHEMBL274740;N[C@H]1CN(c2ccc(C(F)(F)F)cn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F;13000;Inactive
CHEMBL197300;N[C@@H](CC(=O)N1CCc2c(n[nH]c2C(F)(F)F)C1)Cc1cc(F)ccc1F;13000;Inactive
CHEMBL1683108;Cc1noc(C)c1C(=O)N(C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;13000;Inactive
CHEMBL486049;O=C([C@@H]1C[C@H](NCc2ccccc2)CN1)N1Cc2ccccc2C1;13100;Inactive
CHEMBL503274;CC[C@H](C)[C@H](N)C(=O)N1CCCC1;13700;Inactive
CHEMBL3127982;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1cscn1;13900;Inactive
CHEMBL1683115;N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1;14000;Inactive
CHEMBL378048;CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F;14000;Inactive
CHEMBL585290;N[C@@H](CC(=O)N1CCC[C@H]1c1noc(C2(F)CC2)n1)Cc1cc(F)c(F)cc1F;14000;Inactive
CHEMBL460065;N[C@@H](CCCNC(=O)OCc1ccccc1)C(=O)N1CCCC1;14500;Inactive
CHEMBL3112969;NC[C@]1(c2cccc(Cl)c2)CC[C@H](N2CCCCC2)CC1;14600;Inactive
CHEMBL558322;CC(C)(C)C(=O)NC[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;15000;Inactive
CHEMBL248615;Cn1c(C(F)(F)F)nc2c1CCN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C2(C)C;15000;Inactive
CHEMBL1683126;CN(Cc1cccc(C#N)c1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;15000;Inactive
CHEMBL237972;CN(C)C(=O)[C@@H]([C@H]1CC[C@@H](c2ccc(F)cc2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1;15000;Inactive
CHEMBL3813856;CCN1C(=O)Cn2c1nc1nc(N3CCC[C@@H](N)C3)n(Cc3cc(F)ccc3C#N)c1c2=O;15828;Inactive
CHEMBL442952;CCCC[C@H](N)C(=O)N1CCCC1;15900;Inactive
CHEMBL3357767;CCOC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F;15960;Inactive
CHEMBL3093898;N#Cc1ccccc1C[C@H](N)C(=O)N1CCC[C@H]1C#N;15970;Inactive
CHEMBL460885;CC[C@H](C)[C@H](N)C(=O)N1CCC(N=[N+]=[N-])C1;16000;Inactive
CHEMBL1682985;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(-c2csnn2)cc1;16000;Inactive
CHEMBL1683101;CN(C(=O)C(C)(C)C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;16000;Inactive
CHEMBL1683118;NC(=O)C1CCCN([C@H]2CC[C@@H]([C@H](N)Cc3cc(F)ccc3F)CC2)C1;16000;Inactive
CHEMBL1683132;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cccnc2)CC1;16000;Inactive
CHEMBL1683140;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2cncnc2)CC1;16000;Inactive
CHEMBL488492;O=C([C@@H]1C[C@H](N(c2cccc3ccccc23)c2cccc3ccccc23)CN1)N1Cc2ccccc2C1;16100;Inactive
CHEMBL1083287;CN(C)C(=O)N1C[C@@H]2C[C@](C)(NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1;16900;Inactive
CHEMBL1683127;CCN(Cc1ccccc1)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;17000;Inactive
CHEMBL567278;N[C@@H](CC(=O)N1CCC[C@H]1c1nc(C2CC2)no1)Cc1cc(F)c(F)cc1F;17000;Inactive
CHEMBL584692;N[C@@H](CC(=O)N1CCC[C@H]1c1noc(C2(C(F)(F)F)CC2)n1)Cc1cc(F)c(F)cc1F;17000;Inactive
CHEMBL2206487;Cc1sc(C2(NC(=O)C[C@H](N)Cc3ccccc3F)CCS(=O)(=O)CC2)nc1-c1ccccc1;17400;Inactive
CHEMBL3112957;NC[C@]1(c2cccc(Cl)c2)CC[C@H](n2ncccc2=O)CC1;17600;Inactive
CHEMBL539352;COc1ccc(CC2c3nnc(C(F)(F)F)n3CCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1.Cl;18000;Inactive
CHEMBL1683134;N#Cc1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1;18000;Inactive
CHEMBL584698;N[C@@H](CC(=O)N1CCC[C@H]1c1noc(C2(O)CC2)n1)Cc1cc(F)c(F)cc1F;19000;Inactive
CHEMBL231396;N[C@H]1CN(c2ccc3nc(=O)ccn3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F;19000;Inactive
CHEMBL1683131;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ccccn2)CC1;19000;Inactive
CHEMBL1683145;NC(=O)C1CCCC(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)C1;19000;Inactive
CHEMBL3093902;N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1ccccc1;19790;Inactive
CHEMBL1203953;Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)[C@H]1Cc1ccc(F)cc1)Cc1cc(F)c(F)cc1F;20000;Inactive
CHEMBL536088;CC1(C)c2nnc(C(F)(F)F)n2CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F.Cl;20000;Inactive
CHEMBL196333;Cc1nc2c(s1)CN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)CC2;20000;Inactive
CHEMBL393336;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F.O=P(O)(O)O;20000;Inactive
CHEMBL217198;COc1ccc(NC(=O)CC(C)(C)NCC(=O)N2CCC[C@H]2C#N)cc1OC;20000;Inactive
CHEMBL1085306;CC(C)(CC(=O)Nc1ccccn1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1085597;CCOC(=O)N1CCN(C(=O)CC(C)(C)NCC(=O)N2C[C@@H](F)C[C@H]2C#N)CC1;20000;Inactive
CHEMBL1085333;CC(C)(CC(=O)N1CCOCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1242993;N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCc3ccsc3C2)C(=O)N1;20000;Inactive
CHEMBL1084601;CC(C)(CC(=O)N1C2CCC1CC2)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1085598;CC(C)(CC(=O)N1CCCCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1085595;CC(C)(CC(=O)N1CCN(S(C)(=O)=O)CC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1082465;CC(C)(CC(=O)N1CC[C@@H](F)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1086039;CC(C)(CC(=O)N1CCC[C@H]1CO)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1085580;CC(C)(CC(=O)N1CCSC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1242994;N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCn3cc(C(F)(F)F)nc3C2)C(=O)N1;20000;Inactive
CHEMBL1082464;CC(C)(CC(=O)N1CC[C@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1243027;N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@@H](CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)C(=O)N1;20000;Inactive
CHEMBL1082997;CC(C)(CC(=O)N1CCCC1)NCC(=O)N1CCC[C@H]1C#N;20000;Inactive
CHEMBL1084972;CC(C)(CC(=O)NC1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1085332;CC(C)(CC(=O)N1CCC(=O)CC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1085579;C[C@@H]1CCCN1C(=O)CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1086502;CC(C)(CC(=O)N1CC[C@@H](O)C1)NCC(=O)N1CCC[C@H]1C#N;20000;Inactive
CHEMBL397057;NCC[C@H](N)C(=O)N1CC[C@H]2CCC[C@H]21;20000;Inactive
CHEMBL1085074;CC(C)(CC(=O)N1CCCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL1082463;CC(C)(CC(=O)N1CC[C@@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N;20000;Inactive
CHEMBL3093919;Cc1ccc(C[C@H](N)C(=O)N2CCC[C@H]2C#N)cc1;20150;Inactive
CHEMBL238190;CN(C)C(=O)[C@@H]([C@H]1CC[C@H](c2ccc(F)cc2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1;21000;Inactive
CHEMBL230342;N[C@H]1CN(c2cccc(C(F)(F)F)n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F;21000;Inactive
CHEMBL3330065;N#C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)C[C@H](N)Cc1cccc(F)c1;21620;Inactive
CHEMBL3330066;N#C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)C[C@H](N)Cc1ccc(F)cc1;21960;Inactive
CHEMBL3330063;N#C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)C[C@H](N)Cc1ccccc1Cl;22270;Inactive
CHEMBL3093899;N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1C(F)(F)F;22900;Inactive
CHEMBL2021541;C[C@H]1CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)Cc2ccc(C(F)(F)F)n21.Cl;23000;Inactive
CHEMBL1683144;N[C@H](Cc1cc(F)ccc1F)C1CCN(C2CCCC(C(=O)O)C2)CC1;23000;Inactive
CHEMBL1683141;COc1ncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)cn1;23000;Inactive
CHEMBL539350;Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1)Cc1cc(F)c(F)cc1F;24000;Inactive
CHEMBL193885;Cc1nn(-c2ccc(F)cc2)c2c1CN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)CC2;24000;Inactive
CHEMBL1682984;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(-c2cnco2)cc1;24000;Inactive
CHEMBL565633;CC(C)(C)c1noc([C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)n1;24000;Inactive
CHEMBL1683139;N[C@H](Cc1cc(F)ccc1F)C1CCN(c2ncccn2)CC1;24000;Inactive
CHEMBL3112959;NC[C@]1(c2cccc(Cl)c2)CC[C@H](n2nc(-c3ccccc3)ccc2=O)CC1;24600;Inactive
CHEMBL196881;CS(=O)(=O)c1ccc(-c2nc3c(s2)CCN(C(=O)C[C@H](N)Cc2cc(F)ccc2F)C3)cc1;25000;Inactive
CHEMBL237997;CN(C)C(=O)[C@@H]([C@H]1CC[C@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1;25000;Inactive
CHEMBL1683137;CCOC(=O)c1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1;25000;Inactive
CHEMBL2022464;Cc1cc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc2[nH]1;25000;Inactive
CHEMBL2022467;N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(Br)cc2c1=O;25000;Inactive
CHEMBL1651763;N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2sccc2c1=O;25000;Inactive
CHEMBL1651767;Cc1csc2c(=O)n(Cc3ccccc3C#N)c(N3CCC[C@@H](N)C3)nc12;25000;Inactive
CHEMBL1651764;Cc1csc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c12;25000;Inactive
CHEMBL508197;O=C([C@@H]1C[C@@H](N(Cc2ccccc2)Cc2ccccc2)CN1)N1Cc2ccccc2C1;25000;Inactive
CHEMBL1651766;N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccsc2c1=O;25000;Inactive
CHEMBL1651765;N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2scc(C(F)(F)F)c2c1=O;25000;Inactive
CHEMBL510322;CC[C@H](C)[C@H](N)C(=O)N1Cc2ccc([N+](=O)[O-])cc2C1;25000;Inactive
CHEMBL376359;Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O;25000;Inactive
CHEMBL376359;Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O;25000;Inactive
CHEMBL536999;Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1CC(F)(F)F)Cc1cc(F)c(F)cc1F;26000;Inactive
CHEMBL196938;Cn1nc(C(F)(F)F)c2c1CN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)CC2;26000;Inactive
CHEMBL246373;C[C@@H](C1CCC(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl;26000;Inactive
CHEMBL190863;CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CCSC1.O=C(O)C(F)(F)F;26000;Inactive
CHEMBL456298;[N-]=[N+]=NC1CCN(C(=O)[C@@H](N)CCCCN)C1;26400;Inactive
CHEMBL250999;N[C@@H](CC(=O)N1CCn2nc(C(F)(F)F)nc2[C@H]1Cc1ccc(C(F)(F)F)cc1)Cc1cc(F)c(F)cc1F;27000;Inactive
CHEMBL401304;N[C@@H](CC(=O)N1CCn2nc(C(F)(F)F)nc2[C@H]1Cc1ccc(F)cc1)Cc1cc(F)c(F)cc1F;27000;Inactive
CHEMBL567728;CC(C)(F)c1nc([C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)no1;27000;Inactive
CHEMBL1683138;NOC(=O)c1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1;27000;Inactive
CHEMBL565600;CC1(c2nc([C@@H]3CCCN3C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)no2)COC1;27000;Inactive
CHEMBL196114;Cc1c2c(nn1-c1ccc(F)cc1)CCN(C(=O)C[C@H](N)Cc1cc(F)ccc1F)C2;27000;Inactive
CHEMBL250147;N[C@@H](CC(=O)N1CCn2nc(C(F)(F)F)nc2C1Cn1ccnc1)Cc1cc(F)c(F)cc1F;27000;Inactive
CHEMBL1682976;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccccc1C(F)(F)F;27000;Inactive
CHEMBL1683120;NC(=O)[C@H]1CCCN([C@H]2CC[C@H]([C@H](N)Cc3cc(F)ccc3F)CC2)C1;27000;Inactive
CHEMBL400841;CN(C)C(=O)[C@@H]([C@H]1CC[C@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1;28000;Inactive
CHEMBL1683143;COC(=O)C1CCCC(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)C1;28000;Inactive
CHEMBL1683117;N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCCCC2)CC1;28000;Inactive
CHEMBL1682982;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(C(N)=O)cc1;28000;Inactive
CHEMBL381665;N[C@@H](CC(=O)N1CCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C1)Cc1cc(F)ccc1F;28000;Inactive
CHEMBL461506;NCCCC[C@H](N)C(=O)N1CCCCC1;28000;Inactive
CHEMBL392825;C[C@@H](C1CCC(N(C)C(=O)C2CC2)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1.Cl;29000;Inactive
CHEMBL452521;O=C([C@@H]1C[C@@H](NCc2ccccc2)CN1)N1Cc2ccccc2C1;29800;Inactive
CHEMBL3215845;Cc1ccc(-c2c(CN)c(CC(C)C)nc(C)c2C(=O)O)cc1.Cl.Cl;30000;Inactive
CHEMBL3216725;Cc1ccc(-c2c(CC(=O)N3CCC[C@H]3C(N)=O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl;30000;Inactive
CHEMBL1682978;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(C#N)cc1;30000;Inactive
CHEMBL1683109;Cn1ccc(C(=O)N(C)[C@H]2CC[C@H]([C@H](N)Cc3cc(F)ccc3F)CC2)n1;30000;Inactive
CHEMBL425380;N[C@@H](CC(=O)N1CCc2nc(C3CC3)oc2C1)Cc1cc(F)ccc1F;30000;Inactive
CHEMBL3216954;Cc1ccc(-c2c(CCC(=O)O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl;30000;Inactive
CHEMBL3216734;Cc1ccc(-c2c(CC(=O)O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl;30000;Inactive
CHEMBL3112958;Cc1ccc(=O)n([C@H]2CC[C@](CN)(c3cccc(Cl)c3)CC2)n1;30000;Inactive
CHEMBL383488;N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC1C3)C2;30000;Inactive
CHEMBL3112971;NC[C@]1(c2cccc(Cl)c2)CC[C@H](N2CCc3c(nc(C(F)(F)F)nc3C3CC3)C2)CC1;30000;Inactive
CHEMBL207980;N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(C3)C1)C2;30000;Inactive
CHEMBL379522;N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1;30000;Inactive
CHEMBL207912;N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2;30000;Inactive
CHEMBL209994;CCCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1;30000;Inactive
CHEMBL379086;COCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1;30000;Inactive
CHEMBL209191;CCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1;30000;Inactive
CHEMBL3112960;NC[C@]1(c2cccc(Cl)c2)CC[C@H](n2nc(-c3cccnc3)ccc2=O)CC1;30000;Inactive
CHEMBL3112970;NC[C@]1(c2cccc(Cl)c2)CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1;30000;Inactive
CHEMBL237786;COc1ccc(-c2cc(N3C[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ncn2)cn1;30000;Inactive
CHEMBL1682981;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccc(C(N)=O)c1;31000;Inactive
CHEMBL407296;CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N(C)C)[C@H](C)N1;32000;Inactive
CHEMBL1683107;CN(C(=O)c1c[nH]c2ccccc12)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1;32000;Inactive
CHEMBL231295;N[C@H]1CN(c2ccc3ncnc(C4CC4)c3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F;32000;Inactive
CHEMBL1683119;NC(=O)C1CCCN([C@H]2CC[C@H]([C@H](N)Cc3cc(F)ccc3F)CC2)C1;32000;Inactive
CHEMBL1682983;CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(F)cc1F;32000;Inactive
CHEMBL364093;C[C@@H](c1ccc(F)c(Cl)c1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F;34000;Inactive
CHEMBL425905;N[C@@H](CC(=O)N1CCc2c(C3CC3)n[nH]c2C1)Cc1cc(F)ccc1F;34000;Inactive
CHEMBL425905;N[C@@H](CC(=O)N1CCc2c(C3CC3)n[nH]c2C1)Cc1cc(F)ccc1F;34000;Inactive
CHEMBL459438;C[C@@H](O)[C@H](N)C(=O)N1CCCC1;34200;Inactive
